timestamp,close,high,low,open,volume
2025-12-15 09:30:00-05:00,685.1500244140625,685.760009765625,685.1099853515625,685.739990234375,2297894
2025-12-15 09:31:00-05:00,685.02001953125,685.239990234375,684.989990234375,685.1500244140625,433989
2025-12-15 09:32:00-05:00,685.030029296875,685.4199829101562,685.02001953125,685.02001953125,288648
2025-12-15 09:33:00-05:00,684.3800048828125,685.0499877929688,684.344970703125,685.030029296875,330555
2025-12-15 09:34:00-05:00,683.9550170898438,684.3862915039062,683.9400024414062,684.3699951171875,510782
2025-12-15 09:35:00-05:00,684.2100219726562,684.3796997070312,683.9400024414062,683.969970703125,876954
2025-12-15 09:36:00-05:00,684.7349853515625,684.7899780273438,684.0999755859375,684.1799926757812,265635
2025-12-15 09:37:00-05:00,684.77001953125,684.7943725585938,684.47998046875,684.739990234375,267702
2025-12-15 09:38:00-05:00,684.0999755859375,684.7899780273438,684.0900268554688,684.77001953125,190355
2025-12-15 09:39:00-05:00,683.5800170898438,684.1099853515625,683.5549926757812,684.0900268554688,337780
2025-12-15 09:40:00-05:00,684.1300048828125,684.27001953125,683.5599975585938,683.5900268554688,395058
2025-12-15 09:41:00-05:00,684.219970703125,684.3800048828125,683.7999877929688,684.1400146484375,320279
2025-12-15 09:42:00-05:00,684.0499877929688,684.4749755859375,684.010009765625,684.2100219726562,269425
2025-12-15 09:43:00-05:00,683.8699951171875,684.0900268554688,683.739990234375,684.030029296875,206451
2025-12-15 09:44:00-05:00,683.6199951171875,683.9099731445312,683.6099853515625,683.8699951171875,305610
2025-12-15 09:45:00-05:00,683.4099731445312,683.8712158203125,683.4000244140625,683.6199951171875,368235
2025-12-15 09:46:00-05:00,683.530029296875,683.6500244140625,683.219970703125,683.4099731445312,322017
2025-12-15 09:47:00-05:00,683.280029296875,683.739990234375,683.260009765625,683.530029296875,325914
2025-12-15 09:48:00-05:00,683.25,683.6199951171875,683.239990234375,683.260009765625,338680
2025-12-15 09:49:00-05:00,683.5800170898438,683.5800170898438,683.22998046875,683.25,205363
